Id,SalePrice
1461,104257.8149937356
1462,97604.6012694374
1463,150722.28440064663
1464,138040.23198408683
1465,164792.5243858254
1466,152227.52335334325
1467,130725.1618360224
1468,147566.68963957144
1469,133286.50841403473
1470,120501.380201566
1471,189255.69286173664
1472,129898.1231036599
1473,132426.72496188973
1474,205200.78622515398
1475,158393.49475899857
1476,257705.30108472655
1477,208895.21880640194
1478,215350.61625861336
1479,194768.09017212692
1480,278603.2014490488
1481,247019.1077324202
1482,228903.62268019753
1483,125932.3582320951
1484,150964.72426121152
1485,147585.8008849119
1486,158660.17072085422
1487,209151.73676931366
1488,162935.43856236577
1489,140090.16228664585
1490,145024.60160867183
1491,163891.70483512463
1492,89163.66192355272
1493,179156.53716605797
1494,188752.5326250851
1495,182010.37538480313
1496,186281.80504694674
1497,186836.50676583167
1498,165996.3208479627
1499,161055.4797500595
1500,151245.2250779387
1501,194193.9641039239
1502,178595.75799732213
1503,177094.82991251553
1504,186567.7228022312
1505,154982.18592979526
1506,138349.71351143997
1507,241720.3285888766
1508,194939.9512113291
1509,149585.221284268
1510,100554.18909924771
1511,92130.95675812906
1512,108092.51873779255
1513,160431.3662540758
1514,131917.09834821834
1515,164542.00081816208
1516,148343.55581580824
1517,114244.71140044663
1518,159403.81651542836
1519,135989.96016791457
1520,83245.16987324625
1521,81314.43369047211
1522,124388.99505674472
1523,100513.82201567198
1524,97471.06234533768
1525,86349.72751358281
1526,116059.22103242693
1527,94956.35632534682
1528,147977.055320054
1529,97461.68425742196
1530,111337.48712876384
1531,161737.1598079868
1532,119006.09096840344
1533,149508.48494921686
1534,162501.65965745412
1535,158638.40274379757
1536,154613.4324827651
1537,114588.22062302279
1538,178090.86367411164
1539,219283.44622190885
1540,194710.2493224678
1541,178208.6073276432
1542,148320.14108633302
1543,151157.89934255282
1544,95459.56709686667
1545,115596.92068216713
1546,139749.13589956617
1547,135228.57980042393
1548,146137.70558916242
1549,121547.92844661824
1550,157362.794173571
1551,142653.61152588774
1552,195875.97404503854
1553,170738.16209815117
1554,162687.15329975064
1555,134749.1924699376
1556,118238.4286280853
1557,125767.76787094539
1558,100676.22247386305
1559,81814.20732666014
1560,195400.3179488467
1561,164422.93352311128
1562,111868.17336489065
1563,90525.2663320982
1564,185085.00037877503
1565,147981.93026493757
1566,147714.75887067543
1567,93024.33162137595
1568,176305.48606832846
1569,148455.5728171211
1570,138829.16949683218
1571,161182.42831973656
1572,153208.64555772813
1573,168818.34967696152
1574,170538.55796165921
1575,157477.1058475644
1576,209453.80475863273
1577,126705.52982095777
1578,168407.51397718847
1579,152118.90987410647
1580,164831.34614891585
1581,147899.37297833222
1582,125975.10726508932
1583,177790.56362633823
1584,193778.8894500294
1585,119147.83951682247
1586,81024.10507122104
1587,126925.98544536403
1588,141186.25344151465
1589,112481.07486887151
1590,186780.85375497906
1591,125383.12320045997
1592,128045.21068245335
1593,116982.53568594523
1594,225974.26039243455
1595,125212.14824868219
1596,201923.11030293017
1597,193499.93117932323
1598,160481.56526869838
1599,142035.00924205832
1600,166021.02673449434
1601,35802.61117903966
1602,143438.6009108431
1603,47619.092862228026
1604,164827.41596402944
1605,199510.97029207292
1606,185983.1072738008
1607,256616.56462118958
1608,179067.20077126933
1609,179141.4666136169
1610,184247.66915643882
1611,153537.19529970246
1612,133046.0327839317
1613,152644.9745377762
1614,98008.11990904527
1615,112820.77235226751
1616,113462.84502244733
1617,131106.48601341213
1618,97586.94699640061
1619,146260.51352013485
1620,209407.54400256314
1621,135471.96881914232
1622,126630.14408478403
1623,152691.83470721188
1624,198551.31864817822
1625,102393.96817938189
1626,160480.3905887651
1627,167983.92595916436
1628,186054.5791054492
1629,129306.96078775481
1630,219609.89700059118
1631,176122.830057557
1632,166694.12799896768
1633,142578.62329938723
1634,149623.63857548247
1635,164294.82688098538
1636,108735.07811351944
1637,170512.76030376906
1638,175784.89761008142
1639,146175.7131257939
1640,217758.11419545853
1641,130605.32944667764
1642,207323.35029558107
1643,194836.66173425305
1644,177495.9856947418
1645,167054.32406133815
1646,138041.19016775402
1647,176746.75991088207
1648,115062.71766290122
1649,148223.62076897555
1650,94226.3661942787
1651,130119.8869227638
1652,146658.37439327038
1653,149557.87721294508
1654,192770.26399213503
1655,160549.24542192742
1656,185912.7268259503
1657,226900.97907156692
1658,190697.7179813248
